,0,1,2,3,4
01-DEC-2014,1351.0,37.0,7.0,1.0,0.0
01-JAN-2015,2087.0,365.0,33.0,17.0,0.0
01-NOV-2014,318.0,33.0,7.0,0.0,0.0
02-DEC-2014,569.0,370.0,42.0,9.0,0.0
02-JAN-2015,223.0,42.0,19.0,9.0,0.0
03-DEC-2014,1526.0,34.0,10.0,1.0,0.0
03-JAN-2015,47.0,30.0,10.0,0.0,0.0
03-NOV-2014,2080.0,340.0,26.0,7.0,1.0
04-DEC-2014,96.0,32.0,10.0,2.0,0.0
04-OCT-2014,828.0,80.0,0.0,0.0,0.0
05-DEC-2014,273.0,23.0,18.0,0.0,0.0
05-FEB-2015,24.0,0.0,0.0,0.0,0.0
05-JAN-2015,188.0,61.0,19.0,1.0,1.0
05-NOV-2014,422.0,37.0,25.0,1.0,0.0
06-DEC-2014,1265.0,89.0,27.0,16.0,1.0
06-JAN-2015,73.0,36.0,24.0,0.0,0.0
06-NOV-2014,49.0,22.0,2.0,1.0,0.0
06-OCT-2014,5.0,0.0,0.0,0.0,0.0
07-JAN-2015,377.0,235.0,31.0,0.0,0.0
07-NOV-2014,1164.0,319.0,21.0,2.0,0.0
07-OCT-2014,1585.0,308.0,22.0,0.0,0.0
08-DEC-2014,574.0,111.0,16.0,2.0,0.0
08-JAN-2015,93.0,90.0,13.0,2.0,0.0
08-NOV-2014,33.0,23.0,2.0,0.0,0.0
08-OCT-2014,65.0,30.0,7.0,0.0,0.0
09-DEC-2014,139.0,130.0,14.0,0.0,0.0
09-JAN-2015,69.0,36.0,17.0,1.0,0.0
09-OCT-2014,1342.0,31.0,9.0,0.0,0.0
10-DEC-2014,1491.0,31.0,10.0,0.0,0.0
10-FEB-2015,963.0,0.0,0.0,0.0,0.0
10-JAN-2015,95.0,0.0,0.0,0.0,0.0
10-MAR-2015,1541.0,0.0,0.0,0.0,0.0
10-NOV-2014,250.0,39.0,3.0,0.0,0.0
10-OCT-2014,204.0,13.0,5.0,0.0,0.0
11-DEC-2014,144.0,12.0,5.0,1.0,0.0
11-FEB-2015,23.0,0.0,0.0,0.0,0.0
11-NOV-2014,1309.0,113.0,11.0,2.0,2.0
11-OCT-2014,213.0,14.0,9.0,0.0,0.0
12-DEC-2014,1688.0,39.0,16.0,2.0,0.0
12-FEB-2015,62.0,0.0,0.0,0.0,0.0
12-NOV-2014,175.0,20.0,3.0,0.0,0.0
13-DEC-2014,466.0,45.0,2.0,1.0,0.0
13-FEB-2015,27.0,0.0,0.0,0.0,0.0
13-NOV-2014,204.0,56.0,3.0,1.0,0.0
13-OCT-2014,87.0,21.0,16.0,1.0,1.0
14-FEB-2015,69.0,0.0,0.0,0.0,0.0
14-NOV-2014,130.0,13.0,10.0,0.0,0.0
14-OCT-2014,355.0,207.0,8.0,0.0,0.0
15-DEC-2014,88.0,39.0,13.0,1.0,0.0
15-JAN-2015,147.0,0.0,0.0,0.0,0.0
15-NOV-2014,1689.0,10.0,5.0,0.0,0.0
15-OCT-2014,288.0,30.0,1.0,0.0,0.0
16-DEC-2014,249.0,70.0,17.0,2.0,0.0
16-FEB-2015,661.0,0.0,0.0,0.0,0.0
16-JAN-2015,67.0,0.0,0.0,0.0,0.0
16-MAR-2015,82.0,0.0,0.0,0.0,0.0
16-OCT-2014,1540.0,426.0,35.0,8.0,0.0
17-DEC-2014,453.0,250.0,33.0,6.0,0.0
17-JAN-2015,50.0,0.0,0.0,0.0,0.0
17-NOV-2014,536.0,522.0,34.0,5.0,0.0
17-OCT-2014,1556.0,46.0,5.0,0.0,0.0
18-DEC-2014,35.0,25.0,13.0,0.0,0.0
18-NOV-2014,261.0,97.0,9.0,0.0,0.0
18-OCT-2014,8.0,8.0,3.0,0.0,0.0
19-DEC-2014,100.0,55.0,16.0,2.0,1.0
19-NOV-2014,99.0,58.0,18.0,1.0,0.0
20-DEC-2014,290.0,18.0,13.0,3.0,3.0
20-FEB-2015,537.0,0.0,0.0,0.0,0.0
20-NOV-2014,111.0,20.0,11.0,2.0,1.0
20-OCT-2014,446.0,65.0,7.0,0.0,0.0
21-FEB-2015,9.0,0.0,0.0,0.0,0.0
21-NOV-2014,327.0,236.0,3.0,1.0,0.0
21-OCT-2014,1193.0,245.0,13.0,0.0,0.0
22-DEC-2014,115.0,81.0,28.0,1.0,0.0
22-NOV-2014,1254.0,7.0,6.0,2.0,1.0
22-OCT-2014,303.0,51.0,10.0,1.0,0.0
23-DEC-2014,121.0,54.0,15.0,1.0,0.0
23-FEB-2015,24.0,0.0,0.0,0.0,0.0
23-OCT-2014,21.0,2.0,0.0,0.0,0.0
24-DEC-2014,187.0,34.0,32.0,1.0,0.0
24-FEB-2015,17.0,0.0,0.0,0.0,0.0
24-NOV-2014,1639.0,103.0,8.0,2.0,2.0
24-OCT-2014,14.0,7.0,1.0,1.0,0.0
25-FEB-2015,1054.0,0.0,0.0,0.0,0.0
25-NOV-2014,32.0,19.0,18.0,0.0,0.0
25-OCT-2014,10.0,7.0,6.0,0.0,0.0
26-DEC-2014,324.0,212.0,17.0,0.0,0.0
26-FEB-2015,177.0,0.0,0.0,0.0,0.0
26-JAN-2015,128.0,0.0,0.0,0.0,0.0
26-NOV-2014,108.0,96.0,8.0,3.0,1.0
27-DEC-2014,31.0,16.0,5.0,1.0,0.0
27-FEB-2015,245.0,0.0,0.0,0.0,0.0
27-JAN-2015,347.0,0.0,0.0,0.0,0.0
27-NOV-2014,1601.0,52.0,14.0,0.0,0.0
27-OCT-2014,74.0,35.0,8.0,0.0,0.0
28-FEB-2015,175.0,0.0,0.0,0.0,0.0
28-JAN-2015,1.0,0.0,0.0,0.0,0.0
28-NOV-2014,130.0,60.0,8.0,4.0,0.0
28-OCT-2014,1109.0,12.0,7.0,1.0,0.0
29-DEC-2014,77.0,31.0,23.0,3.0,0.0
29-NOV-2014,1017.0,102.0,24.0,0.0,0.0
29-OCT-2014,801.0,33.0,7.0,0.0,0.0
30-DEC-2014,4674.0,68.0,21.0,11.0,0.0
30-OCT-2014,360.0,21.0,10.0,3.0,0.0
31-DEC-2014,1430.0,962.0,28.0,0.0,0.0
31-OCT-2014,1032.0,48.0,39.0,1.0,0.0
